URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection-design-engineer/6766889230.html,PLUMBING/FIRE PROTECTION DESIGN ENGINEER,Midtown
https://newyork.craigslist.org/brk/egr/d/construction-project-manager/6766737034.html,Construction Project Manager,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/solidworks-designer/6766525313.html,SolidWorks Designer,SoHo
https://newyork.craigslist.org/mnh/egr/d/product-engineering-design-experience/6766524189.html,Product Engineering/ Design (Experience with Plumbing Fixtures),SoHo
https://newyork.craigslist.org/que/egr/d/junior-architect/6766479554.html,JUNIOR ARCHITECT,NEW YORK
https://newyork.craigslist.org/mnh/egr/d/junior-architect-site-surveyor/6766364108.html,Junior Architect / Site Surveyor,Midtown East
https://newyork.craigslist.org/brk/egr/d/construction-inspector-transportation/6766209734.html,Construction Inspector (Transportation),Brooklyn
https://newyork.craigslist.org/wch/egr/d/civil-engineer-computer-estimator-site/6766062946.html,Civil Engineer Computer Estimator Site Work/Heavy Construction,
https://newyork.craigslist.org/mnh/egr/d/specifications-writer/6765935479.html,Specifications Writer,Midtown West
https://newyork.craigslist.org/mnh/egr/d/marketing-coordinator/6765933473.html,Marketing Coordinator,Midtown West
https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager/6765909318.html,Assistant Project Manager -,Midtown
https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager/6765559246.html,Assistant Project Manager,Hauppague
https://newyork.craigslist.org/que/egr/d/construction-project-management/6765544706.html,Construction Project Management,Hauppague
https://newyork.craigslist.org/brk/egr/d/freelance-plumbing-designer-mep-modeling/6765523626.html,Freelance Plumbing Designer/MEP Modeling,
https://newyork.craigslist.org/mnh/egr/d/intermediate-interior-architect/6765494696.html,Intermediate Interior Architect,Union Square
https://newyork.craigslist.org/mnh/egr/d/sr-project-pm-mep-engineers-all-trades/6765432572.html,Sr. Project/PM MEP Engineers -All Trades/All Levels (MECH-ELEC-PL/FP),Midtown West
https://newyork.craigslist.org/mnh/egr/d/mep-designers-and-revit-modelers-all/6765427322.html,MEP Designers and REVIT Modelers-ALL TRADES (MECH/ELEC/PLUMB-FP),Midtown West
https://newyork.craigslist.org/mnh/egr/d/mep-engineers-all-trades-mech-elec/6765426318.html,MEP Engineers -All Trades (MECH/ELEC/PLUMB-FP)-All Levels,Midtown West
https://newyork.craigslist.org/mnh/egr/d/mep-engineers-available/6764986499.html,MEP Engineers Available,Midtown
https://newyork.craigslist.org/brk/egr/d/structural-engineer/6764854576.html,Structural Engineer,"Brooklyn, NY"
https://newyork.craigslist.org/mnh/egr/d/architectural-designer/6764764085.html,Architectural Designer,Downtown
https://newyork.craigslist.org/mnh/egr/d/millwork-drywall-estimator/6764714506.html,Millwork/ Drywall Estimator,Midtown
https://newyork.craigslist.org/wch/egr/d/junior-architect-engineer/6764485052.html,Junior Architect/Engineer,Pelham NY
https://newyork.craigslist.org/mnh/egr/d/part-time-position-open-for-autocad/6764444650.html,Part-Time position open for AutoCad Drafter (permanent position),Chelsea
https://newyork.craigslist.org/mnh/egr/d/entry-level-experienced-mechanical-hvac/6764415681.html,Entry Level/Experienced Mechanical/HVAC/Electrical Engineers,Midtown West
https://newyork.craigslist.org/brx/egr/d/construction-estimator/6764375483.html,Construction Estimator,Bronx
https://newyork.craigslist.org/brx/egr/d/project-supervisor/6764372762.html,Project Supervisor,bronx
https://newyork.craigslist.org/que/egr/d/architect-cad-with-project-management/6764086692.html,Architect CAD with Project Management duties,Maspeth
https://newyork.craigslist.org/que/egr/d/mep-revit-modelers/6764013124.html,MEP REVIT Modelers,Long Island City
https://newyork.craigslist.org/fct/egr/d/intermediate-architect/6763908087.html,Intermediate Architect,"Stamford, CT"
